season,date,div_conf_name,points_threshold
2011-12,2012-03-08,Northeast,81
2011-12,2012-03-09,Northeast,83
2011-12,2012-03-10,Northeast,83
2011-12,2012-03-11,Northeast,83
2011-12,2012-03-12,Northeast,83
2011-12,2012-03-13,Northeast,83
2011-12,2012-03-14,Northeast,83
2011-12,2012-03-15,Northeast,83
2011-12,2012-03-16,Northeast,84
2011-12,2012-03-17,Northeast,85
2011-12,2012-03-18,Northeast,85
2011-12,2012-03-19,Northeast,87
2011-12,2012-03-20,Northeast,87
2011-12,2012-03-21,Northeast,87
2011-12,2012-03-22,Northeast,87
2011-12,2012-03-23,Northeast,87
2011-12,2012-03-24,Northeast,87
2011-12,2012-03-25,Northeast,89
2011-12,2012-03-26,Northeast,91
2011-12,2012-03-27,Northeast,93
2011-12,2012-03-28,Northeast,93
2011-12,2012-03-29,Northeast,94
2011-12,2012-03-30,Northeast,94
2011-12,2012-03-31,Northeast,96
2011-12,2012-04-01,Northeast,98
2011-12,2012-04-02,Northeast,98
2011-12,2012-04-03,Northeast,98
2011-12,2012-04-04,Northeast,98
2011-12,2012-04-05,Northeast,100
2011-12,2012-04-06,Northeast,100
2011-12,2012-04-07,Northeast,102
2011-12,2012-04-08,Northeast,102
2011-12,2012-04-09,Northeast,102
2011-12,2012-04-10,Northeast,102
2011-12,2012-04-11,Northeast,102
2011-12,2012-04-12,Northeast,102
2011-12,2012-04-13,Northeast,102
2011-12,2012-04-14,Northeast,102
2011-12,2012-04-15,Northeast,102
2011-12,2012-04-16,Northeast,102
2011-12,2012-04-17,Northeast,102
2011-12,2012-04-18,Northeast,102
2011-12,2012-04-19,Northeast,102
2011-12,2012-04-20,Northeast,102
2011-12,2012-04-21,Northeast,102
2011-12,2012-04-22,Northeast,102
2011-12,2012-04-23,Northeast,102
2011-12,2012-04-24,Northeast,102
2011-12,2012-04-25,Northeast,102
2011-12,2012-04-26,Northeast,102
2011-12,2012-04-27,Northeast,102
2011-12,2012-04-28,Northeast,102
2011-12,2012-04-29,Northeast,102
2011-12,2012-04-30,Northeast,102
2011-12,2012-05-01,Northeast,102
2011-12,2012-05-02,Northeast,102
2011-12,2012-05-03,Northeast,102
2011-12,2012-05-04,Northeast,102
2011-12,2012-05-05,Northeast,102
2011-12,2012-05-06,Northeast,102
2011-12,2012-05-07,Northeast,102
2011-12,2012-05-08,Northeast,102
2011-12,2012-05-09,Northeast,102
2011-12,2012-05-10,Northeast,102
2011-12,2012-05-11,Northeast,102
2011-12,2012-05-12,Northeast,102
2011-12,2012-05-13,Northeast,102
2011-12,2012-05-14,Northeast,102
2011-12,2012-05-15,Northeast,102
2011-12,2012-05-16,Northeast,102
2011-12,2012-05-17,Northeast,102
2011-12,2012-05-18,Northeast,102
2011-12,2012-05-19,Northeast,102
2011-12,2012-05-20,Northeast,102
2011-12,2012-05-21,Northeast,102
2011-12,2012-05-22,Northeast,102
2011-12,2012-05-23,Northeast,102
2011-12,2012-05-24,Northeast,102
2011-12,2012-05-25,Northeast,102
2011-12,2012-05-26,Northeast,102
2011-12,2012-05-27,Northeast,102
2011-12,2012-05-28,Northeast,102
2011-12,2012-05-29,Northeast,102
2011-12,2012-05-30,Northeast,102
2011-12,2012-05-31,Northeast,102
2011-12,2011-06-01,Northwest,0
